date,total_clones,unique_clones
2022-08-17,3,3
2022-08-18,1,1
2022-08-19,0,0
2022-08-20,0,0
2022-08-21,0,0
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,0,0
2022-08-25,15,8
2022-08-26,5,4
2022-08-27,9,5
2022-08-28,4,3
2022-08-29,1,1
2022-08-30,3,3
2022-08-31,9,5
2022-09-01,4,3
2022-09-02,4,4
2022-09-03,3,3
2022-09-04,3,3
2022-09-05,5,5
2022-09-06,2,2
2022-09-07,1,1
2022-09-08,1,1
2022-09-09,2,2
2022-09-10,2,2
2022-09-11,2,2
2022-09-12,5,3
2022-09-13,2,2
2022-09-14,2,2
2022-09-15,2,2
2022-09-16,3,2
2022-09-17,3,3
2022-09-18,3,3
2022-09-19,1,1
2022-09-20,3,3
2022-09-21,3,3
2022-09-22,6,2
2022-09-23,2,2
2022-09-24,3,2
2022-09-25,2,2
2022-09-26,2,2
2022-09-27,3,3
2022-09-28,0,0
