date,total_views,unique_views
2022-08-17,6,2
2022-08-18,1,1
2022-08-19,1,1
2022-08-20,0,0
2022-08-21,2,1
2022-08-22,0,0
2022-08-23,0,0
2022-08-24,1,1
2022-08-25,16,1
2022-08-26,0,0
2022-08-27,3,1
2022-08-28,0,0
2022-08-29,1,1
2022-08-30,0,0
2022-08-31,11,3
2022-09-01,0,0
2022-09-02,3,1
2022-09-03,1,1
2022-09-04,0,0
2022-09-05,12,2
2022-09-06,44,3
2022-09-07,0,0
2022-09-08,4,1
2022-09-09,10,4
2022-09-10,8,2
2022-09-11,8,4
2022-09-12,107,16
2022-09-13,24,5
2022-09-14,5,2
2022-09-15,5,1
2022-09-16,4,1
2022-09-17,0,0
2022-09-18,8,2
2022-09-19,52,10
2022-09-20,65,6
2022-09-21,2,2
2022-09-22,4,3
2022-09-23,5,1
2022-09-24,2,1
2022-09-25,17,3
2022-09-26,18,5
2022-09-27,67,5
2022-09-28,0,0
2022-09-29,6,4
2022-09-30,0,0
